group,stimulus,FP1,FP2,F7,F8,AF1,AF2,FZ,F4,F3,FC6,FC5,FC2,FC1,T8,T7,CZ,C3,C4,CP5,CP6,CP1,CP2,P3,P4,PZ,P8,P7,PO2,PO1,O2,O1,X,AF7,AF8,F5,F6,FT7,FT8,FPZ,FC4,FC3,C6,C5,F2,F1,TP8,TP7,AFZ,CP3,CP4,P5,P6,C1,C2,PO7,PO8,FCZ,POZ,OZ,P2,P1,CPZ,nd,Y
a,0,-37.72,-31.64,-28.9,-18.06,-20.4,-15.82,-17.39,-6.355,-8.8,1.288,-0.3232,-2.936,-4.06,4.36,2.53,-3.486,-2.111,-0.539,4.992,4.297,4.05,4.613,4.57,5.402,4.58,8.33,10.4,8.21,7.875,11.44,11.32,-58.12,-28.9,-18.06,-7.64,-4.383,2.53,4.36,-34.2,-0.539,-2.111,4.637,3.336,-8.984,-10.12,8.33,10.4,-17.39,4.57,5.402,8.586,6.62,1.159,1.335,13.58,9.1,-3.486,9.33,11.516,7.17,7.1,4.58,-36.75,2.164
a,0,7.684,5.242,8.99,0.661,2.01,-0.904,1.421,-2.17,1.876,-1.8545,6.395,-1.561,0.621,-1.2,4.164,-0.8506,2.174,0.09595,2.23,-4.29,0.798,-0.2225,1.55,-3.227,0.05197,-2.803,2.105,-2.395,-0.667,-2.22,-0.2957,12.81,8.99,0.661,4.254,-0.785,4.164,-1.2,5.97,0.09595,2.174,-2.416,3.057,-1.696,0.462,-2.803,2.105,1.421,1.55,-3.227,0.7773,-4.387,0.6724,-1.325,-0.9077,-4.004,-0.8506,-1.283,-1.201,-1.358,-0.3472,0.05197,7.547,11.09
a,0,-5.004,-5.152,-3.98,-7.164,-4.824,-3.637,-3.783,-3.627,-4.375,-3.373,-4.887,-0.96,-1.605,-4.883,-3.57,-1.544,-3.316,-2.729,-5.836,-2.293,-0.8296,0.8105,-2.22,-0.4365,0.5303,-4.15,-6.156,-2.072,-3.299,-3.87,-5.684,-2.795,-3.98,-7.164,-4.902,-5.066,-3.57,-4.883,-4.98,-2.729,-3.316,-2.516,-3.75,-3.232,-4.266,-4.15,-6.156,-3.783,-2.22,-0.4365,-5.445,-1.516,-0.7134,0.741,-10.09,-5.12,-1.544,-2.176,-4.56,-0.4004,-1.958,0.5303,-5.188,-2.498
a,0,7.797,8.336,4.82,2.045,5.04,4.45,4.79,1.384,3.414,-1.745,2.865,0.44,1.419,-3.041,-0.33,1.182,0.957,-0.6064,-3.15,-4.77,-1.024,-1.02,-1.023,-3.31,-0.81,-7.094,-4.855,-7.33,-7.49,-9.375,-9.31,12.58,4.82,2.045,2.52,0.4304,-0.33,-3.041,8.7,-0.6064,0.957,-3.137,-0.5967,2.035,2.943,-7.094,-4.855,4.79,-1.023,-3.31,-5.7,-7.75,0.7715,-0.805,-9.0,-9.58,1.182,-7.285,-9.695,-4.31,-4.258,-0.81,7.895,-2.527
a,0,-0.7314,-1.462,-1.038,-0.03632,-1.213,-1.569,-1.146,-1.874,-1.464,-1.482,-2.645,-0.914,-1.517,-2.771,-3.365,-1.297,-2.246,-2.535,-3.69,-3.754,-0.2869,-0.09906,-1.685,-1.035,0.2091,-4.65,-3.406,-2.111,-2.154,-3.045,-4.324,1.366,-1.038,-0.03632,-2.082,-2.68,-3.365,-2.771,-0.678,-2.535,-2.246,-2.652,-1.961,-1.591,-1.555,-4.65,-3.406,-1.146,-1.685,-1.035,-3.482,-3.113,-0.497,-0.4197,-2.004,-4.598,-1.297,-1.787,-3.398,-0.3174,-1.209,0.2091,-0.797,-4.625
a,0,7.504,7.445,2.87,4.25,3.312,3.621,3.438,0.699,1.474,-1.116,-0.2004,0.4768,0.7715,-2.8,-4.15,1.144,-0.453,0.3237,-2.727,-0.677,-1.722,0.56,-2.785,-0.7886,-1.1875,-2.703,-6.367,-1.78,-3.023,-2.336,-3.643,10.7,2.87,4.25,-0.1508,0.45,-4.15,-2.8,7.79,0.3237,-0.453,-1.43,-2.367,1.651,1.853,-2.703,-6.367,3.438,-2.785,-0.7886,-4.19,-1.986,-1.105,0.1812,-5.324,-2.395,1.144,-1.606,-3.283,-0.822,-2.582,-1.1875,7.383,-6.344
a,0,14.48,13.87,9.7,8.53,6.17,6.074,5.727,1.797,0.2362,-0.549,-3.252,-0.47,0.07947,-1.016,-4.316,0.3726,-1.669,-0.6006,-4.79,-4.027,-1.848,-1.969,-3.338,-4.055,-1.192,-4.902,-5.965,-4.53,-4.496,-6.605,-6.613,24.58,9.7,8.53,-0.558,2.416,-4.316,-1.016,13.87,-0.6006,-1.669,-2.436,-3.094,2.121,2.059,-4.902,-5.965,5.727,-3.338,-4.055,-6.555,-5.72,-1.364,-1.685,-7.6,-7.363,0.3726,-3.215,-6.797,-2.389,-2.96,-1.192,14.42,-1.939
a,0,-52.78,-48.4,-40.28,-30.97,-30.61,-25.4,-26.7,-13.13,-14.25,-2.748,-3.281,-5.69,-6.17,0.736,-0.7246,-6.613,-4.19,-3.918,5.24,6.14,5.426,5.133,5.85,7.477,6.293,10.664,10.65,11.07,9.84,13.32,10.89,-80.7,-40.28,-30.97,-13.445,-11.62,-0.7246,0.736,-47.06,-3.918,-4.19,3.797,3.219,-15.48,-16.55,10.664,10.65,-26.7,5.85,7.477,9.45,10.26,1.808,1.992,9.016,10.58,-6.613,10.48,13.22,8.734,9.29,6.293,-51.72,-2.375
a,0,-8.37,-7.22,-8.82,-6.082,-5.438,-4.23,-4.49,-2.521,-3.32,-0.6987,0.4026,-0.08594,-0.7646,-1.506,-3.455,0.1755,-1.081,0.05646,-0.8867,-0.1578,-0.267,0.4285,-0.622,-0.4082,0.4285,-1.587,-1.621,-1.308,-2.232,-1.518,-1.304,-14.47,-8.82,-6.082,-4.605,-3.066,-3.455,-1.506,-8.04,0.05646,-1.081,-0.0605,-1.65,-2.287,-2.424,-1.587,-1.621,-4.49,-0.622,-0.4082,-1.398,-1.857,-0.2064,0.5303,-0.739,-2.057,0.1755,-1.203,-1.633,0.5063,-1.0,0.4285,-8.34,-4.56
a,0,6.89,7.21,5.59,5.867,5.164,4.496,6.113,2.1,3.07,0.961,1.898,0.5337,0.9614,0.7773,1.344,0.4807,1.824,0.816,1.478,-0.7676,0.9473,-0.4158,0.9473,-0.1252,-0.05408,-2.99,-0.5615,-1.866,-2.71,-1.687,-3.293,7.812,5.59,5.867,2.38,2.443,1.344,0.7773,6.234,0.816,1.824,-0.561,0.3982,2.244,2.285,-2.99,-0.5615,6.113,0.9473,-0.1252,-1.641,-2.262,1.137,0.0503,-6.99,-3.512,0.4807,-2.262,-2.213,-1.368,-1.385,-0.05408,6.664,7.574
