group,stimulus,FP1,FP2,F7,F8,AF1,AF2,FZ,F4,F3,FC6,FC5,FC2,FC1,T8,T7,CZ,C3,C4,CP5,CP6,CP1,CP2,P3,P4,PZ,P8,P7,PO2,PO1,O2,O1,X,AF7,AF8,F5,F6,FT7,FT8,FPZ,FC4,FC3,C6,C5,F2,F1,TP8,TP7,AFZ,CP3,CP4,P5,P6,C1,C2,PO7,PO8,FCZ,POZ,OZ,P2,P1,CPZ,nd,Y
c,0,2.621,2.438,4.668,-1.39,3.014,1.096,-0.2422,0.39,2.771,-1.431,5.59,-0.2576,1.3125,-0.01069,5.367,-1.257,2.816,0.1711,6.98,4.55,3.37,3.26,4.87,3.682,1.839,3.332,7.273,6.707,7.406,5.242,6.03,7.387,4.668,-1.39,4.117,0.03842,5.367,-0.01069,1.834,0.1711,2.816,1.805,5.836,-0.163,1.743,3.332,7.273,-0.2422,4.87,3.682,6.54,5.85,1.575,0.734,5.266,6.3,-1.257,5.637,6.195,7.29,5.617,1.839,2.568,3.4
c,0,1.765,4.88,2.076,1.861,0.621,0.941,0.9536,-0.528,1.383,-4.977,1.307,-0.757,1.366,-0.3835,0.817,-0.368,1.383,-2.299,1.164,-6.84,1.968,-2.854,0.0775,-4.418,-1.3955,-7.15,-2.162,-5.344,-2.201,-7.35,-4.4,6.72,2.076,1.861,1.234,-0.704,0.817,-0.3835,2.201,-2.299,1.383,-3.633,0.36,0.4888,1.602,-7.15,-2.162,0.9536,0.0775,-4.418,-1.149,-6.855,1.032,-2.164,-2.97,-5.426,-0.368,-5.17,-5.73,-10.94,-2.314,-1.3955,1.693,0.09094
c,0,-6.316,-4.348,-6.273,-4.06,-6.35,-4.74,-6.414,-2.123,-5.88,-2.742,-4.242,-2.574,-3.352,-2.8,-5.67,-3.71,-3.926,-2.03,-0.2922,0.3672,2.008,2.63,0.784,0.1539,3.492,-1.072,-1.894,3.006,5.09,-0.6133,0.787,-6.594,-6.273,-4.06,-6.72,-3.484,-5.67,-2.8,-5.816,-2.03,-3.926,-1.338,-3.059,-4.438,-6.086,-1.072,-1.894,-6.414,0.784,0.1539,1.617,0.0899,0.4749,-0.3887,4.49,3.248,-3.71,5.188,0.2856,3.459,4.496,3.492,-5.984,-5.504
c,0,0.513,-2.191,-0.778,-3.945,-0.478,-0.363,0.863,-1.559,1.348,-5.145,-0.5835,-0.309,2.604,-6.992,-1.077,0.514,0.0857,-3.074,-0.528,-3.08,0.688,0.06287,0.6455,-1.611,-0.05402,-5.27,-1.437,0.2644,1.236,-0.9565,0.508,-3.234,-0.778,-3.945,-0.1277,-3.4,-1.077,-6.992,-0.791,-3.074,0.0857,-4.727,-0.8906,0.2404,2.256,-5.27,-1.437,0.863,0.6455,-1.611,0.758,-2.576,0.1849,-0.846,1.186,-0.2246,0.514,0.1194,-1.154,2.018,1.653,-0.05402,0.3875,-7.027
c,0,-2.389,-0.2773,-4.938,2.088,-2.568,-0.5723,-0.9507,1.484,-3.107,2.492,-2.566,-0.6094,-2.512,-0.3308,-5.17,-1.221,-2.123,0.6357,-0.984,-2.281,-3.0,-0.4526,-0.865,-2.83,1.315,-1.974,-2.898,0.3247,-0.3682,-1.251,-1.051,-0.2241,-4.938,2.088,-3.92,0.78,-5.17,-0.3308,-0.682,0.6357,-2.123,-2.703,-2.523,-0.7783,-3.45,-1.974,-2.898,-0.9507,-0.865,-2.83,-1.355,-2.014,1.05e-05,-0.3691,-1.232,-1.668,-1.221,1.94,-2.213,7.41,1.06,1.315,-1.93,-11.86
c,0,3.102,4.305,1.502,10.15,-2.002,-0.519,4.33,-1.461,-4.434,1.484,-2.662,-5.715,-7.98,1.3125,-1.415,-7.598,-3.363,-2.479,-1.876,-5.246,-2.078,-4.977,-2.396,-3.115,-4.637,-2.363,1.419,-4.523,-1.306,-2.676,-0.3904,6.855,1.502,10.15,-1.398,3.48,-1.415,1.3125,2.146,-2.479,-3.363,-3.705,-1.221,-3.693,-6.11,-2.363,1.419,4.33,-2.396,-3.115,-0.2014,-3.697,-6.246,-5.625,-0.0286,-6.51,-7.598,-2.68,-3.037,-8.21,-1.687,-4.637,3.33,-2.17
c,0,-3.312,-0.759,-3.68,-1.271,-3.375,-2.475,-4.62,-1.464,-3.53,-1.838,-2.016,-1.481,-1.474,0.2434,-2.379,-2.32,-2.365,0.10876,1.032,3.44,2.955,3.104,0.884,3.047,1.743,1.243,1.769,5.156,4.555,4.992,5.19,-0.792,-3.68,-1.271,-4.812,0.1051,-2.379,0.2434,-3.248,0.10876,-2.365,1.243,-1.096,-1.802,-3.406,1.243,1.769,-4.62,0.884,3.047,3.252,4.406,0.0672,0.8086,6.535,7.324,-2.32,4.29,6.46,7.797,2.648,1.743,-3.426,-7.55
c,0,-3.584,-3.727,-0.944,-2.809,-7.312,-7.668,-8.125,-6.543,-6.9,1.1875,-0.4683,-5.992,-6.61,3.416,1.9,-8.055,-3.12,-2.277,5.754,6.297,5.926,6.496,4.785,5.977,6.5,7.168,6.957,12.336,13.24,13.66,15.16,4.61,-0.944,-2.809,-2.25,-3.11,1.9,3.416,-4.25,-2.277,-3.12,3.715,2.578,-9.62,-10.19,7.168,6.957,-8.125,4.785,5.977,9.836,9.57,-0.1721,-0.0081,15.83,12.16,-8.055,15.21,14.53,13.23,11.19,6.5,-3.576,6.977
c,0,5.156,5.387,7.297,3.98,3.18,3.135,1.375,2.58,3.924,3.928,6.625,0.531,3.094,4.348,6.703,-1.009,3.607,2.842,6.55,4.266,5.254,3.43,5.137,3.967,2.002,4.984,6.25,5.207,8.0,2.895,4.555,10.66,7.297,3.98,5.62,4.02,6.703,4.348,2.922,2.842,3.607,3.129,4.81,1.56,0.9976,4.984,6.25,1.375,5.137,3.967,6.344,4.074,1.997,1.211,4.902,4.31,-1.009,4.523,4.773,-0.555,4.168,2.002,4.63,7.363
c,0,-6.223,-7.246,-4.316,-13.89,-4.426,-4.367,-5.887,-2.826,-3.137,-4.92,-4.207,-1.64,-1.872,-5.887,-4.285,-1.022,-2.254,-1.686,-1.981,-4.97,0.2615,-0.7524,-1.088,-1.098,0.5547,-6.734,-5.55,-6.145,-2.268,-7.613,-5.75,-5.03,-4.316,-13.89,-4.363,-3.965,-4.285,-5.887,-5.33,-1.686,-2.254,-4.51,-3.168,-2.299,-3.238,-6.734,-5.55,-5.887,-1.088,-1.098,-4.645,-4.41,0.4966,-0.3857,-4.26,-6.67,-1.022,-3.365,-9.17,-9.016,-0.9995,0.5547,-5.855,-9.1
